xgb_c2st,indist,marg_c2st,dep_c2st,tv2,tv3,mle_auc,mle_f1,mle_recall,dep_cross,dataset,variant,capacity,seed,step,rr_c2st,n_test
0.9996977777777778,0.0006044444444444075,0.5044796666666667,0.49521811111111114,0.17657,0.34058111111111117,0.4908833624336567,0.12097560975609756,0.09295352323838081,0.0006935555555557249,default,FF,1x,2,8000,0.5130220000000001,3000
0.6150136666666667,0.7699726666666666,0.5419048888888889,0.0731087777777778,0.029167407407407406,0.053132407407407406,0.7446880396064292,0.4528301886792453,0.3778110944527736,0.0074442222222222965,default,TabbyFlow,1x,2,8000,0.5130220000000001,3000
0.509098,0.9818039999999999,0.5047695555555556,0.004328444444444468,0.02530814814814815,0.048011296296296295,0.769016477616314,0.45353159851301117,0.3658170914542729,0.00766744444444456,default,Oracle,1x,2,8000,0.5130220000000001,3000
0.9946125944133188,0.01077481117336232,0.5131341075474264,0.48147848686589245,0.1994600246060368,0.3580376729515271,0.48043892438970237,0.2702188392007612,0.21005917159763313,-6.150479709776668e-05,magic,FF,1x,0,8000,0.5095870084177262,1902
0.5544343714790232,0.8911312570419536,0.512880348429513,0.04155402304951017,0.03972318540922189,0.06617533188343214,0.93749457030609,0.8294209702660407,0.7840236686390533,0.00420001747012666,magic,TabbyFlow,1x,0,8000,0.5095870084177262,1902
0.500374557303674,0.999250885392652,0.5243722087879159,-0.023997651484241933,0.03770399961662212,0.06290351442388205,0.9436820081662597,0.8352668213457076,0.7988165680473372,-0.007563846125778206,magic,Oracle,1x,0,8000,0.5095870084177262,1902
0.9950562582305856,0.009887483538828734,0.5120073949498065,0.4830488632807791,0.19977771533720948,0.35731580324151513,0.49706012239736674,0.17956064947468958,0.1390532544378698,0.0012208356691333355,magic,FF,1x,1,8000,0.5149574138020635,1902
0.5562399864661804,0.8875200270676391,0.5151578226914831,0.04108216377469731,0.039243531937956974,0.06625721648416631,0.9335043485815226,0.821875,0.7781065088757396,0.0004970140457607464,magic,TabbyFlow,1x,1,8000,0.5149574138020635,1902
0.5125858164685797,0.9748283670628406,0.5148236235917474,-0.002237807123167679,0.03770399961662212,0.06290351442388205,0.9495388379972394,0.846692607003891,0.8047337278106509,0.010336675877182788,magic,Oracle,1x,1,8000,0.5149574138020635,1902
0.9949541188034954,0.01009176239300924,0.509290956113494,0.4856631626900014,0.19813637912550405,0.35628108733360053,0.4624192785505372,0.22334004024144868,0.16420118343195267,0.0006023323724763108,magic,FF,1x,2,8000,0.5143481707782278,1902
0.5557062077551882,0.8885875844896236,0.5353640144139602,0.020342193341228,0.04127995096998737,0.06856208006998198,0.9393442860314487,0.8300704776820673,0.7840236686390533,-0.006778796131362119,magic,TabbyFlow,1x,2,8000,0.5143481707782278,1902
0.5148708924470451,0.9702582151059098,0.5128330795742153,0.0020378128728297806,0.03770399961662212,0.06290351442388205,0.9428470419027578,0.8294930875576036,0.7988165680473372,0.0005918281824102145,magic,Oracle,1x,2,8000,0.5143481707782278,1902
