xgb_c2st,indist,marg_c2st,dep_c2st,tv2,tv3,mle_auc,mle_f1,mle_recall,trend,lr_c2st,dataset,variant,seed,rr_c2st,n_test,syn_path
0.5420812953280485,0.915837409343903,0.553550345758138,-0.0114690504300895,0.2705476305331588,0.5062498489726109,0.48925619834710743,0.23809523809523808,0.22727272727272727,0.7000206739714699,1.0,diabetes,FF,4,0.5664819944598338,77,baselines/diabetes/samples.csv
0.5063248439871817,0.9873503120256366,0.5331421824928319,-0.026817338505650157,0.24450938995077928,0.4647696731633056,0.9090909090909091,0.75,0.8181818181818182,0.8205499276410999,1.0,diabetes,TabbyFlow,4,0.5664819944598338,77,baselines/diabetes/samples.csv
0.5538876707707876,0.8922246584584248,0.509192106594704,0.04469556417608356,0.23165654895032606,0.4573787283628095,0.9338842975206612,0.8095238095238095,0.7727272727272727,1.0,1.0,diabetes,Oracle,4,0.5664819944598338,77,baselines/diabetes/samples.csv
0.990569334752591,0.018861330494817974,0.5032424147736048,0.48732691997898625,0.07200531329641283,0.17155585334156662,0.4512870514820593,0.09879160483358067,0.06058242329693188,0.7652382628581148,1.0,adult,FF,0,0.5011584811861225,16281,ef_vfm/result/adult/adult_base_s0/6000/samples.csv
0.6036275282527082,0.7927449434945837,0.5596214441611355,0.044006084091572695,0.017419426048852448,0.03377076334438236,0.9128730187406129,0.6774374824388874,0.6268850754030161,0.9855844533219307,0.9823512690845988,adult,TabbyFlow,0,0.5011584811861225,16281,ef_vfm/result/adult/adult_base_s0/6000/samples.csv
0.5025596353423263,0.9948807293153474,0.5042383744932362,-0.0016787391509098804,0.013621460890087913,0.028062554806701005,0.9269146101589942,0.7011974380395433,0.6547061882475299,1.0,1.0,adult,Oracle,0,0.5011584811861225,16281,ef_vfm/result/adult/adult_base_s0/6000/samples.csv
0.9906984096232255,0.018603180753548942,0.5122014421640098,0.47849696745921577,0.07354177028816027,0.17254266707880292,0.506448446116373,0.10284552845528455,0.0657826313052522,0.7645342587758361,1.0,adult,FF,1,0.5046023142306926,16281,baselines/adult/samples.csv
0.6075343462462491,0.7849313075075017,0.5546633265497536,0.05287101969649555,0.01772462074388387,0.03471928639460018,0.9117982620390461,0.6692090395480226,0.6159646385855434,0.9847009045743729,0.991935574985832,adult,TabbyFlow,1,0.5046023142306926,16281,baselines/adult/samples.csv
0.5021399496114551,0.9957201007770897,0.5010021486284195,0.0011378009830356195,0.013621460890087913,0.028062554806701005,0.9268297487026139,0.7143059690911668,0.6549661986479459,1.0,1.0,adult,Oracle,1,0.5046023142306926,16281,baselines/adult/samples.csv
0.9910124934432181,0.017975013113563865,0.5032645031984473,0.4877479902447708,0.07283743082474652,0.17207912073055148,0.4958475753585833,0.09865650691798676,0.06396255850234009,0.7635845619937016,0.9954977980405783,adult,FF,2,0.5026152738622026,16281,baselines/adult/samples.csv
0.6052518216056115,0.7894963567887769,0.5482949205439369,0.056956901061674614,0.01772462074388387,0.03471928639460018,0.9101400606084558,0.6718244478829652,0.6209048361934477,0.9847009045743729,0.9866852194567654,adult,TabbyFlow,2,0.5026152738622026,16281,baselines/adult/samples.csv
0.5079587857984942,0.9840824284030116,0.5020078038650186,0.005950981933475541,0.013621460890087913,0.028062554806701005,0.9269359797311072,0.7092597804672108,0.6552262090483619,1.0,1.0,adult,Oracle,2,0.5026152738622026,16281,baselines/adult/samples.csv
0.9909736227198422,0.01805275456031552,0.511512162586531,0.47946146013331126,0.07285492976721937,0.17262134520107092,0.4904699235818246,0.10886024145692653,0.06916276651066043,0.7643854256980389,1.0,adult,FF,3,0.505926431792525,16281,baselines/adult/samples.csv
0.6084223726038402,0.7831552547923195,0.5555828407020413,0.05283953190179891,0.01772462074388387,0.03471928639460018,0.9121064219327921,0.6620863712843522,0.6138845553822153,0.9847009045743729,0.9886326938796509,adult,TabbyFlow,3,0.505926431792525,16281,baselines/adult/samples.csv
0.5019087228495014,0.9961825543009972,0.505294018230839,-0.003385295381337583,0.013621460890087913,0.028062554806701005,0.9265865914089719,0.7099591491759403,0.6552262090483619,1.0,1.0,adult,Oracle,3,0.505926431792525,16281,baselines/adult/samples.csv
0.9913862216691477,0.017227556661704613,0.5055484538723198,0.48583776779682786,0.07297251678889313,0.17260058720683538,0.4838341696112557,0.1000823723228995,0.06318252730109204,0.7637664690887873,1.0,adult,FF,4,0.5141088989369088,16281,baselines/adult/samples.csv
0.6041418980632889,0.7917162038734222,0.550109893025966,0.05403200503732286,0.01772462074388387,0.03471928639460018,0.9092679227876794,0.6677036199095022,0.6138845553822153,0.9847009045743729,0.988397675082071,adult,TabbyFlow,4,0.5141088989369088,16281,baselines/adult/samples.csv
0.5012151859214786,0.9975696281570428,0.5040371868572959,-0.0028220009358173037,0.013621460890087913,0.028062554806701005,0.9275047041286557,0.7075445040972026,0.6510660426417056,1.0,1.0,adult,Oracle,4,0.5141088989369088,16281,baselines/adult/samples.csv
0.9764018551735889,0.04719628965282219,0.5147166098024784,0.46168524537111055,0.0658607019149614,0.13140984049743173,0.4943498033561956,0.028846153846153848,0.01675977653631285,0.7707838978002632,1.0,shoppers,FF,0,0.5228564049586777,1233,baselines/shoppers/samples.csv
0.5668132835270137,0.8663734329459727,0.5235188835806877,0.043294399946326,0.037130685382200095,0.06101649094349824,0.9167788578758229,0.6172106824925816,0.5810055865921788,0.9832467501315703,0.9881497433614169,shoppers,TabbyFlow,0,0.5228564049586777,1233,baselines/shoppers/samples.csv
0.515792720989233,0.968414558021534,0.5074522015222106,0.008340519467022411,0.033772302588993906,0.05818329278183293,0.9172982943402627,0.6149253731343284,0.5754189944134078,1.0,1.0,shoppers,Oracle,0,0.5228564049586777,1233,baselines/shoppers/samples.csv
0.9767892815116073,0.04642143697678547,0.5051828961467195,0.47160638536488775,0.0671623550143977,0.1330891231864468,0.40925232951353185,0.00966183574879227,0.00558659217877095,0.7692699962218317,1.0,shoppers,FF,1,0.5367789677854613,1233,baselines/shoppers/samples.csv
0.577231697394377,0.8455366052112461,0.5688550005952815,0.008376696799095473,0.037130685382200095,0.06101649094349824,0.9211251629864416,0.599388379204893,0.547486033519553,0.9832467501315703,0.9800001232709091,shoppers,TabbyFlow,1,0.5367789677854613,1233,baselines/shoppers/samples.csv
0.512515712473089,0.974968575053822,0.526551201778083,-0.014035489304993987,0.033772302588993906,0.05818329278183293,0.9240827706104968,0.6257668711656442,0.5698324022346368,1.0,1.0,shoppers,Oracle,1,0.5367789677854613,1233,baselines/shoppers/samples.csv
0.978162704591035,0.043674590817929904,0.5087835273424987,0.4693791772485364,0.06685372776367164,0.1326326935207714,0.44400156891013753,0.046511627906976744,0.027932960893854747,0.7699785509265943,1.0,shoppers,FF,2,0.5187268089053803,1233,baselines/shoppers/samples.csv
0.5637921474140772,0.8724157051718455,0.5595672927976194,0.004224854616457829,0.037130685382200095,0.06101649094349824,0.9212801988699606,0.6,0.5698324022346368,0.9832467501315703,0.9866940990727323,shoppers,TabbyFlow,2,0.5187268089053803,1233,baselines/shoppers/samples.csv
0.5044461941117774,0.9911076117764452,0.502232799158581,0.0022133949531963903,0.033772302588993906,0.05818329278183293,0.922815981681914,0.617737003058104,0.5642458100558659,1.0,1.0,shoppers,Oracle,2,0.5187268089053803,1233,baselines/shoppers/samples.csv
0.9736898708074584,0.05262025838508322,0.5075143607564088,0.4661755100510496,0.06692028287690073,0.13250698386951432,0.4401693998918724,0.02830188679245283,0.01675977653631285,0.7697695035620455,1.0,shoppers,FF,3,0.5375511258222297,1233,baselines/shoppers/samples.csv
0.5600073407095625,0.879985318580875,0.5541393774473143,0.005867963262248144,0.037130685382200095,0.06101649094349824,0.9227285255424932,0.6246246246246246,0.5810055865921788,0.9832467501315703,0.9846899966850845,shoppers,TabbyFlow,3,0.5375511258222297,1233,baselines/shoppers/samples.csv
0.5002170639924383,0.9995658720151235,0.5209016180476211,-0.02068455405518288,0.033772302588993906,0.05818329278183293,0.9261207636776101,0.6283987915407855,0.5810055865921788,1.0,1.0,shoppers,Oracle,3,0.5375511258222297,1233,baselines/shoppers/samples.csv
0.9751830079675641,0.04963398406487185,0.5294411128410453,0.44574189512651874,0.06778844426539352,0.13273452284401188,0.4786315499348054,0.04897959183673469,0.0335195530726257,0.768450959267732,1.0,shoppers,FF,4,0.5015469514251982,1233,baselines/shoppers/samples.csv
0.5854748669496392,0.8290502661007215,0.5640565708230474,0.02141829612659185,0.037130685382200095,0.06101649094349824,0.9222753437291298,0.6167664670658682,0.5754189944134078,0.9832467501315703,0.9789965616430191,shoppers,TabbyFlow,4,0.5015469514251982,1233,baselines/shoppers/samples.csv
0.5065740790073466,0.9868518419853067,0.5277588668996487,-0.02118478789230205,0.033772302588993906,0.05818329278183293,0.9267594585139877,0.6319018404907976,0.5754189944134078,1.0,1.0,shoppers,Oracle,4,0.5015469514251982,1233,baselines/shoppers/samples.csv
0.9996908888888889,0.0006182222222221867,0.5028395,0.4968513888888889,0.17704907407407408,0.3406896296296296,0.4703130110898258,0.06741573033707865,0.04047976011994003,0.6063263456526395,0.9968249794238684,default,FF,0,0.5164542222222221,3000,ef_vfm/result/default/default_base_s0/4000/samples.csv
0.6160636111111112,0.7678727777777776,0.5346697777777778,0.08139383333333339,0.03178314814814815,0.05517722222222223,0.7551447165401439,0.44564240790655885,0.37181409295352325,0.9878977853491766,0.9746695884773663,default,TabbyFlow,0,0.5164542222222221,3000,ef_vfm/result/default/default_base_s0/4000/samples.csv
0.5009262777777778,0.9981474444444445,0.5176854444444444,-0.01675916666666666,0.02530814814814815,0.048011296296296295,0.7715720472382754,0.4835988753514527,0.3868065967016492,1.0,1.0,default,Oracle,0,0.5164542222222221,3000,ef_vfm/result/default/default_base_s0/4000/samples.csv
