dataset,seed,method,steps,label,nfe,time_s,full,marg,dep,dep_cross,mle_f1,mle_recall
default,0,euler,50.0,euler50,150,7.557215213775635,0.6253235,0.5603152777777778,0.06500822222222225,0.008399222222222336,0.4358974358974359,0.3568215892053973
default,0,euler,200.0,euler200,600,29.157718181610107,0.6124282777777779,0.5352228888888889,0.07720538888888895,0.003435055555555677,0.43204320432043203,0.3598200899550225
default,0,euler,500.0,euler500,1500,74.10923838615417,0.6097353333333333,0.5293937777777777,0.08034155555555555,0.008798111111111062,0.45045045045045046,0.3748125937031484
default,1,dopri5_default,,dopri5_default,432,21.53052282333374,0.6014547222222223,0.5373518888888889,0.06410283333333344,0.004505666666666741,0.46126447016918964,0.38830584707646176
default,1,euler,10.0,euler10,30,1.4476678371429443,0.6796645555555556,0.7176360555555555,-0.037971499999999936,0.006921055555555555,0.43947858472998136,0.3538230884557721
default,1,euler,20.0,euler20,60,3.163591146469116,0.6269264444444445,0.6057322222222222,0.021194222222222225,0.013144166666666623,0.47209515096065874,0.3868065967016492
default,1,euler,50.0,euler50,150,7.430598258972168,0.6087502222222222,0.5532641111111111,0.055486111111111125,0.0007494444444444692,0.45662100456621,0.3748125937031484
default,1,euler,200.0,euler200,600,29.96643447875977,0.6063172222222223,0.5341824444444444,0.07213477777777788,0.006272500000000014,0.4767857142857143,0.4002998500749625
default,1,euler,500.0,euler500,1500,74.812180519104,0.6119397777777777,0.5408577777777777,0.07108200000000009,0.020772333333333393,0.4692942254812099,0.383808095952024
default,2,dopri5_default,,dopri5_default,450,23.912209272384644,0.6150136666666667,0.5419048888888889,0.0731087777777778,0.0074442222222222965,0.4528301886792453,0.3778110944527736
default,2,euler,10.0,euler10,30,1.463853359222412,0.6903343333333333,0.7335251111111111,-0.0431907777777778,0.003572944444444448,0.42696629213483145,0.34182908545727136
default,2,euler,20.0,euler20,60,3.523017406463623,0.6497068333333333,0.6353941111111111,0.01431272222222224,0.012493777777777715,0.43779232927970063,0.35082458770614694
default,2,euler,50.0,euler50,150,8.277621030807495,0.6232082222222223,0.5676071111111112,0.0556011111111111,0.0030178888888888755,0.45167118337850043,0.3748125937031484
default,2,euler,200.0,euler200,600,29.30223917961121,0.6163395,0.5613192222222223,0.05502027777777774,0.0020286111111111893,0.4426078971533517,0.3613193403298351
default,2,euler,500.0,euler500,1500,73.24466133117676,0.6206886111111112,0.5485887777777778,0.07209983333333336,0.009651500000000035,0.43157894736842106,0.36881559220389803
default,3,dopri5_default,,dopri5_default,456,22.854538679122925,0.6129026111111111,0.5221706666666667,0.09073194444444443,0.006263222222222198,0.4514959202175884,0.3733133433283358
default,3,euler,10.0,euler10,30,1.5346167087554932,0.6921657777777779,0.7287231666666667,-0.03655738888888882,0.01084200000000024,0.4407766990291262,0.3403298350824588
default,3,euler,20.0,euler20,60,3.129274845123291,0.6414584999999999,0.6142271666666667,0.027231333333333274,0.010201277777777573,0.446139180171592,0.35082458770614694
default,3,euler,50.0,euler50,150,7.725460290908813,0.6258375,0.559123888888889,0.06671361111111107,0.013641555555555573,0.44283121597096187,0.3658170914542729
default,3,euler,200.0,euler200,600,29.724870204925537,0.6172762222222222,0.5322847777777778,0.0849914444444444,0.011479444444444487,0.446311858076564,0.3583208395802099
default,3,euler,500.0,euler500,1500,73.59234428405762,0.6106311111111111,0.525864,0.08476711111111113,0.0037667222222221852,0.45429864253393665,0.37631184407796103
default,4,dopri5_default,,dopri5_default,462,24.01771092414856,0.6221042222222223,0.5534453333333333,0.06865888888888894,0.013889499999999999,0.4422202001819836,0.36431784107946025
default,4,euler,10.0,euler10,30,1.516810178756714,0.6965311111111111,0.7298534444444444,-0.03332233333333334,0.011534944444444473,0.4372549019607843,0.3343328335832084
default,4,euler,20.0,euler20,60,2.9275124073028564,0.6577695555555556,0.6321344444444444,0.025635111111111164,0.007306333333333415,0.40904806786050896,0.32533733133433285
default,4,euler,50.0,euler50,150,7.443499565124512,0.6347912222222222,0.5763721111111111,0.05841911111111109,0.013878222222222236,0.4354382657869934,0.34632683658170915
default,4,euler,200.0,euler200,600,30.79022455215454,0.6260382777777778,0.5588400555555555,0.06719822222222227,0.0105358888888889,0.4261992619926199,0.34632683658170915
default,4,euler,500.0,euler500,1500,73.78475689888,0.6228745555555556,0.5547476111111111,0.06812694444444445,0.007730888888888954,0.4175824175824176,0.34182908545727136
